hotel_name,scraped_info
Club Quarters Hotel St Paul s,"[4.0, 'https://www.hotels.com/ho192432/club-quarters-hotel-st-paul-s-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673182377971&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=559690&sort=RECOMMENDED&top_dp=166&top_cur=EUR&userIntent=&selectedRoomType=200257620&selectedRatePlan=201506903&expediaPropertyId=559690']"
Park Plaza Victoria Amsterdam,"[4.0, 'https://www.hotels.com/ho123513/park-plaza-victoria-amsterdam-amsterdam-netherlands/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673182483393&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=378&destination=Amsterdam%2C+North+Holland%2C+Netherlands&destType=CURRENT_LOCATION&neighborhoodId=6200211&selected=19430&sort=RECOMMENDED&top_dp=239&top_cur=EUR&userIntent=&selectedRoomType=314253023&selectedRatePlan=382779006&expediaPropertyId=19430']"
Mondrian London,"[5.0, 'https://www.hotels.com/ho474803/sea-containers-london-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673182563097&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=8466215&sort=RECOMMENDED&top_dp=232&top_cur=EUR&userIntent=&selectedRoomType=217512808&selectedRatePlan=270071119&expediaPropertyId=8466215']"
Crowne Plaza London Docklands,"[nan, 'https://www.hotels.com/ho213230/crowne-plaza-london-docklands-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673182634621&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6004179&selected=919845&sort=RECOMMENDED&top_dp=144&top_cur=EUR&userIntent=&selectedRoomType=273306&selectedRatePlan=380667436&expediaPropertyId=919845']"
The Student Hotel Amsterdam City,"[4.0, 'https://www.hotels.com/ho530979/the-student-hotel-amsterdam-city-amsterdam-netherlands/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673182669119&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=378&destination=Amsterdam%2C+North+Holland%2C+Netherlands&destType=CURRENT_LOCATION&neighborhoodId=553248633981694272&selected=11500383&sort=RECOMMENDED&top_dp=80&top_cur=EUR&userIntent=&selectedRoomType=201147577&selectedRatePlan=386718990&expediaPropertyId=11500383']"
Shaftesbury Premier London Paddington,"[5.0, 'https://www.hotels.com/ho217116/the-chilworth-london-paddington-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673182747564&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=901179&sort=RECOMMENDED&top_dp=149&top_cur=EUR&userIntent=&selectedRoomType=213300593&selectedRatePlan=242012964&expediaPropertyId=901179']"
Hilton London Canary Wharf,"[4.0, 'https://www.hotels.com/ho234575/hilton-london-canary-wharf-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673182816669&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=179523&selected=1457899&sort=RECOMMENDED&top_dp=221&top_cur=EUR&userIntent=&selectedRoomType=128601&selectedRatePlan=388616361&expediaPropertyId=1457899']"
Norfolk Towers Paddington,"[4.0, 'https://www.hotels.com/ho285748/norfolk-towers-paddington-hotel-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673182891546&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=27024&sort=RECOMMENDED&top_dp=120&top_cur=EUR&userIntent=&selectedRoomType=200794696&selectedRatePlan=240213425&expediaPropertyId=27024']"
citizenM London Bankside,"[4.0, 'https://www.hotels.com/ho462638/citizenm-london-bankside-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673182946921&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=5244458&sort=RECOMMENDED&top_dp=169&top_cur=EUR&userIntent=&selectedRoomType=201172123&selectedRatePlan=205555802&expediaPropertyId=5244458']"
The Grosvenor,"[4.0, 'https://www.hotels.com/ho129168/the-clermont-london-victoria-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673182998792&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=10939&sort=RECOMMENDED&top_dp=212&top_cur=EUR&userIntent=&selectedRoomType=314127474&selectedRatePlan=382428942&expediaPropertyId=10939']"
Holiday Inn London Kensington Forum,"[nan, nan]"
